"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","Arduino_Nano_v2.x","","","","Module:Arduino_Nano","https://www.arduino.cc/en/uploads/Main/ArduinoNanoManual23.pdf"
"C1","1","1000uF_50V","","","","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm",""
"C3","1","100uF_50V","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"D1,D2","2","LED","","","","LED_THT:LED_D5.0mm","~"
"D3","1","1N5822","","","","PCM_Diode_THT_AKL:D_DO-201AD_P12.70mm_Horizontal","https://www.tme.eu/Document/0e3ba29986d8cf49f92da19e697f30fa/1n5820-22.pdf"
"DS1","1","OLED_128X64_1.3_I2C","","","","OLED_128X64_1.3_I2C:LCD_OLED_128X64_1.3_I2C",""
"DZ1","1","1N5240B","","","","PCM_Diode_THT_AKL:D_DO-35_SOD27_P7.62mm_Horizontal_Zener","https://www.tme.eu/Document/9906bac3657dc59bd4a6884b643c759b/1N52xxB.pdf"
"F1","1","Polyfuse","","","","Fuse:Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm","~"
"J2","1","GX16-5 Connecter","","","","Connector:GX16-5","~"
"J3","1","Barrel_Jack_PTH_Slot","","","","PCM_SparkFun-Connector:Barrel_Jack_PTH_Slot","https://www.sparkfun.com/datasheets/Prototyping/Barrel-Connector-PJ-202A.pdf"
"L1","1","L","","","","Inductor_THT:L_Toroid_Horizontal_D3.2mm_P6.40mm_Diameter3-5mm_Amidon-T12",""
"Q2","1","IRF4905","","","","PCM_Package_TO_SOT_THT_AKL:TO-220-3_Horizontal_TabDown","https://www.tme.eu/Document/6b5423f4bc207bf599b8e5a57c2f701a/irf4905.pdf"
"Q3","1","IRLZ44N","","","","PCM_Package_TO_SOT_THT_AKL:TO-220-3_Horizontal_TabDown","https://www.tme.eu/Document/71cf1899624764088671ce6de5d15eb4/irlz44n.pdf"
"R1","1","100k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R2","1","10k_0402","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R3","1","470R_0603","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R4","1","3.3k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R5","1","2.7k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R6,R7","2","2.2k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"SW1","1","RotaryEncoder","","","","Rotary_Encoder:RotaryEncoder_Alps_EC12E_Vertical_H20mm","~"
"SW2","1","SW_DIP_x01","","","","Button_Switch_THT:SW_DIP_SPSTx01_Piano_10.8x4.1mm_W7.62mm_P2.54mm","~"
"U1","1","LM2576HVS-5","","","","PCM_Package_TO_SOT_THT_AKL:TO-220-5_Horizontal_TabDown","http://www.ti.com/lit/ds/symlink/lm2576.pdf"
"U2","1","LM358","","","","PCM_4ms_Package_DIP:DIP-8pin_TH",""
